SYMBOL,TIME_FRAME,QUANTITY,STAT_MODULE_NAME
ADANIENSOL-EQ,5MINUTE,1,amb_stat03
ADANIENT-EQ,5MINUTE,1,amb_stat03
ADANIGREEN-EQ,5MINUTE,1,amb_stat03
ADANIPORTS-EQ,5MINUTE,1,amb_stat03
ADANIPOWER-EQ,5MINUTE,1,amb_stat03
APOLLOTYRE-EQ,5MINUTE,1,amb_stat03
DMART-EQ,5MINUTE,1,amb_stat03
HDFCBANK-EQ,5MINUTE,1,amb_stat03
INFY-EQ,5MINUTE,1,amb_stat03
KOTAKBANK-EQ,5MINUTE,1,amb_stat03
SUZLON-EQ,5MINUTE,1,amb_stat03
TCS-EQ,5MINUTE,1,amb_stat03
TATAMOTORS-EQ,5MINUTE,1,amb_stat03
TATAPOWER-EQ,5MINUTE,1,amb_stat03
TATASTEEL-EQ,5MINUTE,1,amb_stat03
