Date,buyT,buyP,sellT,sellP,PandL
2020-01-01,13:30:00,333.7,15:25:00,335.4,1.6999999999999886
2020-01-01,13:55:00,334.45,15:25:00,335.0,0.5500000000000114
2020-01-01,14:45:00,334.4,15:25:00,335.66428571428565,1.264285714285677
2020-01-02,11:30:00,334.65,12:10:00,335.9285714285714,1.2785714285714107
2020-01-03,09:45:00,353.5,15:25:00,346.0,-7.5
2020-01-03,09:15:00,354.85,15:25:00,346.0,-8.850000000000023
2020-01-03,10:15:00,353.0,14:45:00,346.1642857142857,-6.835714285714289
2020-01-03,10:20:00,353.0,14:45:00,346.4,-6.600000000000023
2020-01-07,10:05:00,330.3,10:40:00,335.0357142857143,4.735714285714266
2020-01-07,10:35:00,333.7,10:40:00,336.2857142857143,2.585714285714289
2020-01-07,14:55:00,333.3,15:25:00,332.0,-1.3000000000000114
2020-01-07,15:15:00,332.9,15:25:00,332.0,-0.8999999999999773
2020-01-08,14:35:00,332.0,15:25:00,331.25,-0.75
2020-01-09,09:45:00,336.1,09:55:00,339.62857142857143,3.5285714285714107
2020-01-09,12:20:00,336.8,12:50:00,335.99642857142857,-0.8035714285714448
2020-01-08,15:10:00,332.0,15:25:00,331.25,-0.75
2020-01-09,09:20:00,335.4,09:55:00,339.04999999999995,3.6499999999999773
2020-01-13,10:15:00,337.25,15:25:00,334.0,-3.25
2020-01-13,12:00:00,336.75,15:05:00,334.60714285714283,-2.142857142857167
2020-01-13,11:35:00,336.85,15:05:00,334.2785714285714,-2.571428571428612
2020-01-15,11:15:00,334.65,13:50:00,332.27142857142854,-2.3785714285714334
2020-01-15,11:35:00,334.7,13:45:00,332.49285714285713,-2.2071428571428555
2020-01-16,09:15:00,335.05,09:20:00,336.7714285714286,1.7214285714285893
2020-01-16,11:20:00,339.75,15:25:00,339.9,0.14999999999997726
2020-01-16,09:50:00,336.0,10:00:00,338.0571428571429,2.0571428571428783
2020-01-16,10:00:00,341.8,10:25:00,337.82500000000005,-3.974999999999966
2020-01-16,13:15:00,340.0,15:25:00,339.9,-0.10000000000002274
2020-01-16,14:40:00,340.0,15:15:00,340.87857142857143,0.8785714285714334
2020-01-16,15:00:00,340.0,15:15:00,340.98571428571427,0.9857142857142662
2020-01-17,11:25:00,343.5,15:25:00,339.25,-4.25
2020-01-17,11:55:00,343.9,14:10:00,340.77142857142854,-3.1285714285714334
2020-01-17,12:35:00,343.75,14:05:00,341.8535714285714,-1.8964285714286007
2020-01-17,12:15:00,344.0,14:05:00,341.43928571428575,-2.560714285714255
2020-01-17,13:00:00,343.8,13:55:00,342.675,-1.125
2020-01-20,10:30:00,343.0,15:15:00,338.90714285714284,-4.092857142857156
2020-01-22,11:45:00,333.2,12:55:00,334.15,0.9499999999999886
2020-01-22,13:35:00,336.0,15:25:00,332.0,-4.0
2020-01-22,12:25:00,333.75,12:55:00,332.4857142857143,-1.264285714285677
2020-01-22,13:00:00,335.15,13:10:00,336.88571428571424,1.7357142857142662
2020-01-23,10:35:00,334.85,15:25:00,332.5,-2.3500000000000227
