Date,buyT,buyP,sellT,sellP,PandL
2020-01-02,11:00:00,210.0,12:00:00,211.88571428571427,1.885714285714272
2020-01-02,14:30:00,212.25,15:15:00,210.9,-1.3499999999999943
2020-01-03,09:15:00,212.3,10:45:00,209.3857142857143,-2.914285714285711
2020-01-09,15:15:00,208.0,15:15:00,208.0,0.0
2020-01-09,13:30:00,206.1,15:15:00,208.25,2.1500000000000057
2020-01-10,12:15:00,209.4,13:45:00,206.56071428571428,-2.8392857142857224
2020-01-13,12:30:00,214.8,15:15:00,212.6,-2.200000000000017
2020-01-15,13:00:00,214.85,15:00:00,216.52142857142857,1.671428571428578
2020-01-15,14:15:00,215.3,15:00:00,216.82857142857145,1.5285714285714391
2020-01-16,12:45:00,220.75,15:15:00,219.5,-1.25
2020-01-16,14:45:00,220.65,15:15:00,219.5,-1.1500000000000057
2020-01-16,10:15:00,220.15,15:15:00,219.5,-0.6500000000000057
2020-01-16,12:30:00,220.05,15:15:00,219.5,-0.5500000000000114
2020-01-17,12:15:00,225.25,15:15:00,227.75,2.5
2020-01-17,14:45:00,228.45,15:15:00,227.75,-0.6999999999999886
2020-01-17,14:30:00,227.6,15:15:00,227.75,0.15000000000000568
2020-01-20,14:45:00,226.8,15:15:00,225.95,-0.8500000000000227
2020-01-23,10:30:00,229.15,15:15:00,228.7,-0.45000000000001705
2020-01-22,14:45:00,227.0,15:15:00,225.4,-1.5999999999999943
2020-01-23,09:15:00,228.35,15:15:00,228.7,0.3499999999999943
2020-01-23,14:15:00,229.3,15:15:00,228.7,-0.6000000000000227
2020-01-27,09:45:00,230.65,10:00:00,233.86428571428573,3.2142857142857224
2020-01-27,12:00:00,235.6,15:15:00,229.85714285714286,-5.742857142857133
2020-01-27,13:45:00,234.9,15:00:00,231.05357142857142,-3.8464285714285893
2020-01-29,10:45:00,234.1,11:30:00,236.72142857142856,2.6214285714285666
2020-01-31,12:30:00,232.7,15:15:00,227.79285714285714,-4.907142857142844
2020-02-04,11:00:00,226.15,15:15:00,224.6,-1.5500000000000114
2020-02-05,09:15:00,228.0,13:00:00,224.66785714285714,-3.3321428571428555
2020-02-04,13:00:00,226.65,15:15:00,224.6,-2.0500000000000114
2020-02-07,12:00:00,239.5,15:15:00,238.25,-1.25
2020-02-07,13:15:00,240.05,15:15:00,238.25,-1.8000000000000114
2020-02-10,09:30:00,240.7,11:45:00,243.45714285714286,2.757142857142867
2020-02-05,11:15:00,227.8,13:15:00,223.55714285714285,-4.2428571428571615
2020-02-07,09:15:00,237.9,15:15:00,238.25,0.3499999999999943
2020-02-11,11:00:00,246.3,15:15:00,244.5,-1.8000000000000114
2020-02-10,15:00:00,244.4,15:15:00,243.7,-0.700000000000017
2020-02-12,12:45:00,250.05,15:15:00,248.75,-1.3000000000000114
2020-02-07,14:15:00,239.85,14:30:00,241.46428571428572,1.614285714285728
2020-02-12,14:00:00,249.9,15:15:00,248.75,-1.1500000000000057
2020-02-12,11:15:00,249.05,15:15:00,248.75,-0.30000000000001137
2020-02-13,12:00:00,251.85,15:15:00,251.0,-0.8499999999999943
2020-02-13,09:45:00,250.15,15:15:00,251.0,0.8499999999999943
2020-02-14,13:45:00,256.05,14:00:00,258.0214285714286,1.9714285714285893
2020-02-13,15:00:00,251.7,15:15:00,251.0,-0.6999999999999886
2020-02-13,14:00:00,251.3,15:15:00,251.0,-0.30000000000001137
2020-02-14,11:30:00,256.15,15:15:00,255.6,-0.549999999999983
2020-02-17,09:30:00,256.1,15:00:00,251.81428571428572,-4.285714285714306
2020-02-19,10:45:00,253.75,15:15:00,252.85,-0.9000000000000057
2020-02-20,09:30:00,255.2,12:15:00,257.38571428571424,2.185714285714255
2020-02-19,14:00:00,254.5,15:15:00,252.85,-1.6500000000000057
2020-02-20,14:15:00,257.6,15:15:00,260.09285714285716,2.492857142857133
2020-02-20,12:00:00,256.5,12:15:00,258.8071428571429,2.3071428571428783
2020-02-20,15:00:00,258.05,15:15:00,260.8,2.75
2020-03-02,13:30:00,223.65,15:00:00,219.3107142857143,-4.339285714285694
2020-03-20,13:15:00,139.15,14:00:00,132.66785714285714,-6.482142857142861
2020-03-20,11:15:00,134.9,12:00:00,140.3,5.400000000000006
2020-03-25,10:15:00,132.2,15:15:00,134.0,1.8000000000000114
2020-03-24,15:15:00,131.8,15:15:00,131.8,0.0
2020-03-26,09:15:00,135.35,11:45:00,140.56428571428572,5.214285714285722
2020-03-26,11:45:00,143.5,12:15:00,148.57142857142856,5.071428571428555
2020-03-27,09:30:00,147.75,13:30:00,135.24642857142857,-12.503571428571433
2020-03-31,13:45:00,136.25,15:15:00,136.0,-0.25
2020-03-31,13:15:00,134.5,14:15:00,137.54285714285714,3.0428571428571445
2020-03-31,11:30:00,135.2,15:15:00,136.0,0.8000000000000114
2020-04-07,14:30:00,140.6,15:15:00,137.0,-3.5999999999999943
2020-04-08,09:15:00,140.0,10:00:00,144.09285714285713,4.092857142857127
2020-04-07,13:30:00,136.85,14:30:00,139.59285714285716,2.7428571428571615
2020-04-07,10:45:00,133.05,11:30:00,136.02142857142857,2.971428571428561
2020-04-09,10:30:00,145.05,15:15:00,142.45,-2.6000000000000227
2020-04-15,10:15:00,149.4,14:15:00,143.4964285714286,-5.903571428571411
2020-04-20,09:45:00,145.75,10:15:00,148.65,2.9000000000000057
2020-04-20,12:15:00,152.4,15:15:00,146.9,-5.5
2020-04-22,14:45:00,137.4,15:15:00,137.75,0.3499999999999943
2020-04-23,12:00:00,141.65,15:15:00,139.6,-2.0500000000000114
2020-04-28,10:30:00,137.9,10:45:00,140.20714285714286,2.30714285714285
2020-04-28,13:15:00,141.2,15:15:00,138.9,-2.299999999999983
2020-05-05,12:45:00,134.65,15:15:00,133.15,-1.5
2020-05-06,13:45:00,134.65,14:00:00,131.8107142857143,-2.839285714285694
2020-05-07,13:45:00,134.5,15:15:00,135.25,0.75
2020-05-08,13:00:00,138.15,15:15:00,136.9,-1.25
2020-05-07,15:00:00,135.05,15:15:00,135.25,0.19999999999998863
2020-05-08,11:15:00,137.95,15:15:00,136.9,-1.049999999999983
2020-05-11,12:00:00,141.4,15:15:00,139.3,-2.0999999999999943
2020-05-13,09:30:00,142.15,15:15:00,141.1,-1.0500000000000114
2020-05-13,11:00:00,142.65,15:15:00,141.1,-1.5500000000000114
2020-05-15,13:45:00,141.95,15:15:00,141.1,-0.8499999999999943
2020-05-18,09:15:00,146.2,09:45:00,142.82500000000002,-3.3749999999999716
2020-05-15,12:30:00,143.0,15:00:00,140.525,-2.4749999999999943
2020-05-19,14:15:00,144.2,14:45:00,140.18214285714285,-4.017857142857139
2020-05-20,11:00:00,141.7,15:15:00,142.0,0.30000000000001137
2020-05-20,13:45:00,141.1,15:15:00,142.0,0.9000000000000057
2020-05-20,09:45:00,142.0,15:15:00,142.0,0.0
2020-05-20,15:15:00,142.0,15:15:00,142.0,0.0
2020-05-27,14:45:00,140.85,15:15:00,140.0,-0.8499999999999943
2020-05-29,09:30:00,145.55,10:45:00,147.8357142857143,2.2857142857142776
2020-05-28,14:30:00,143.45,15:15:00,142.7,-0.75
2020-05-28,12:30:00,142.0,15:15:00,142.7,0.6999999999999886
2020-05-29,13:45:00,152.65,15:00:00,148.27857142857144,-4.371428571428567
2020-05-29,12:30:00,148.85,13:15:00,152.17142857142858,3.3214285714285836
2020-05-28,09:15:00,143.75,15:15:00,142.7,-1.0500000000000114
2020-06-03,09:30:00,155.1,10:15:00,157.88571428571427,2.7857142857142776
2020-06-05,11:00:00,153.55,15:15:00,153.5,-0.05000000000001137
2020-06-08,10:45:00,157.35,12:45:00,152.94642857142856,-4.403571428571439
2020-06-11,10:30:00,162.9,12:45:00,156.7607142857143,-6.139285714285705
2020-06-19,10:30:00,150.25,12:15:00,152.42142857142858,2.171428571428578
2020-06-19,13:45:00,153.9,15:15:00,153.0,-0.9000000000000057
2020-06-18,12:45:00,147.9,15:15:00,148.0,0.09999999999999432
2020-06-19,09:15:00,151.5,12:30:00,153.35714285714286,1.8571428571428612
2020-06-22,12:15:00,155.8,15:15:00,154.75,-1.0500000000000114
2020-06-22,10:45:00,155.05,15:15:00,154.75,-0.30000000000001137
2020-06-19,15:00:00,153.2,15:15:00,153.0,-0.19999999999998863
2020-06-23,14:00:00,158.35,15:15:00,157.1,-1.25
2020-06-23,11:45:00,158.5,15:15:00,157.1,-1.4000000000000057
2020-06-22,13:30:00,155.15,15:15:00,154.75,-0.4000000000000057
2020-06-23,10:30:00,160.7,11:00:00,156.74642857142857,-3.953571428571422
2020-06-25,13:30:00,162.75,15:15:00,162.5,-0.25
2020-06-26,09:15:00,165.3,15:15:00,162.35,-2.950000000000017
2020-06-25,14:30:00,162.7,15:15:00,162.5,-0.19999999999998863
2020-07-02,15:15:00,158.75,15:15:00,158.75,0.0
2020-07-03,10:15:00,162.25,15:15:00,159.5,-2.75
2020-07-07,12:00:00,168.4,15:15:00,167.75,-0.6500000000000057
2020-07-06,14:45:00,164.55,15:15:00,164.6,0.04999999999998295
