Date,buyT,buyP,sellT,sellP,PandL
2020-01-02,14:45:00,384.25,15:15:00,382.5,-1.75
2020-01-07,14:00:00,384.75,15:15:00,384.2,-0.5500000000000114
2020-01-07,11:30:00,385.0,15:15:00,384.2,-0.8000000000000114
2020-01-07,15:00:00,385.25,15:15:00,384.2,-1.0500000000000114
2020-01-08,14:45:00,386.45,15:15:00,385.4,-1.0500000000000114
2020-01-09,13:30:00,391.6,15:15:00,391.8,0.19999999999998863
2020-01-09,12:15:00,392.3,15:15:00,391.8,-0.5
2020-01-09,09:30:00,389.5,09:45:00,393.4642857142857,3.9642857142857224
2020-01-09,15:15:00,391.8,15:15:00,391.8,0.0
2020-01-09,14:15:00,391.5,15:15:00,391.8,0.30000000000001137
2020-01-10,11:15:00,393.85,14:15:00,390.11071428571427,-3.7392857142857565
2020-01-10,10:15:00,393.5,15:15:00,391.3,-2.1999999999999886
2020-01-16,12:45:00,392.45,15:15:00,391.0,-1.4499999999999886
2020-01-16,11:30:00,391.75,13:00:00,394.4642857142857,2.7142857142857224
2020-01-15,14:15:00,389.85,15:15:00,390.55,0.6999999999999886
2020-01-22,11:15:00,383.0,15:15:00,384.0,1.0
2020-01-23,09:30:00,384.3,12:15:00,386.6857142857143,2.3857142857143003
2020-01-22,13:45:00,383.15,15:15:00,384.0,0.8500000000000227
2020-01-22,12:30:00,382.95,15:15:00,384.0,1.0500000000000114
2020-01-23,14:00:00,385.4,15:15:00,385.0,-0.39999999999997726
2020-01-29,12:15:00,386.25,15:15:00,382.5,-3.75
2020-02-04,10:45:00,372.85,15:15:00,368.0,-4.850000000000023
2020-02-04,14:45:00,373.0,15:15:00,367.0964285714286,-5.903571428571411
2020-02-06,10:45:00,371.8,15:15:00,370.1,-1.6999999999999886
2020-02-10,09:45:00,369.85,15:15:00,369.0,-0.8500000000000227
2020-02-11,12:45:00,377.0,15:15:00,374.05,-2.9499999999999886
2020-02-12,09:15:00,377.3,13:45:00,372.35,-4.949999999999989
2020-02-11,11:45:00,374.95,14:30:00,378.35714285714283,3.407142857142844
