Date,buyT,buyP,sellT,sellP,PandL
2020-01-02,11:15:00,64.3,15:15:00,64.25,-0.04999999999999716
2020-01-02,12:00:00,64.3,15:15:00,64.25,-0.04999999999999716
2020-01-02,14:45:00,64.35,15:15:00,64.7642857142857,0.41428571428571104
2020-01-02,13:15:00,64.2,15:15:00,64.70714285714287,0.5071428571428669
2020-01-03,10:15:00,64.5,14:45:00,63.300000000000004,-1.1999999999999957
2020-01-10,12:15:00,62.25,14:15:00,61.14642857142857,-1.1035714285714278
2020-01-09,11:30:00,60.7,15:00:00,61.542857142857144,0.8428571428571416
2020-01-13,15:00:00,62.45,15:15:00,62.25,-0.20000000000000284
2020-01-14,11:30:00,62.6,12:15:00,63.24285714285714,0.6428571428571388
2020-01-14,14:15:00,62.85,15:15:00,62.25,-0.6000000000000014
2020-01-14,13:15:00,62.8,15:15:00,62.25,-0.5499999999999972
2020-01-17,10:00:00,65.15,15:15:00,64.4,-0.75
2020-01-16,09:30:00,63.65,14:15:00,64.37142857142857,0.721428571428568
2020-01-17,14:30:00,64.9,15:15:00,64.4,-0.5
2020-01-17,12:15:00,65.0,12:30:00,65.86428571428571,0.8642857142857139
2020-01-24,09:30:00,63.5,12:15:00,64.11428571428571,0.6142857142857139
2020-01-23,12:00:00,63.0,13:30:00,63.59285714285714,0.5928571428571416
2020-01-24,12:00:00,63.9,15:15:00,63.6,-0.29999999999999716
2020-01-28,11:15:00,64.8,15:15:00,63.9,-0.8999999999999986
2020-01-28,11:00:00,64.6,15:15:00,63.9,-0.6999999999999957
2020-01-28,13:00:00,64.75,14:45:00,63.59285714285714,-1.1571428571428584
2020-02-04,15:15:00,60.5,15:15:00,60.5,0.0
2020-02-05,12:30:00,61.25,14:45:00,61.892857142857146,0.6428571428571459
2020-02-04,11:00:00,60.0,15:15:00,60.5,0.5
2020-02-05,14:00:00,61.2,14:45:00,61.67857142857143,0.47857142857142776
2020-02-05,12:15:00,61.15,14:45:00,61.78571428571429,0.6357142857142932
2020-02-05,10:15:00,61.35,14:45:00,61.90714285714286,0.5571428571428569
2020-02-12,09:15:00,60.4,15:15:00,60.45,0.05000000000000426
2020-02-12,11:00:00,60.9,15:15:00,60.45,-0.44999999999999574
2020-02-19,11:30:00,57.3,14:45:00,58.18571428571428,0.8857142857142861
2020-02-19,12:30:00,57.3,14:30:00,58.092857142857135,0.7928571428571374
2020-02-20,11:30:00,58.6,13:45:00,57.21785714285714,-1.3821428571428598
2020-03-02,13:30:00,49.5,14:45:00,48.096428571428575,-1.403571428571425
2020-03-19,14:00:00,27.8,15:15:00,27.0,-0.8000000000000007
2020-03-20,11:15:00,28.05,12:45:00,29.07857142857143,1.0285714285714285
2020-03-20,14:45:00,28.6,15:15:00,29.2,0.5999999999999979
2020-03-20,09:15:00,27.7,12:00:00,28.849999999999998,1.1499999999999986
2020-03-24,12:30:00,26.95,14:45:00,28.035714285714285,1.0857142857142854
2020-03-25,15:15:00,28.95,15:15:00,28.95,0.0
2020-03-25,12:45:00,28.35,15:15:00,28.992857142857144,0.6428571428571423
2020-03-25,10:15:00,28.1,15:15:00,28.95,0.8499999999999979
2020-03-24,15:00:00,28.05,15:15:00,28.05,0.0
